VAT-TYPE,SALETYPE,SALELEDGER,VATLEDGER,ADDLVATLEDGER,VATCLASS,ADDLVATCLASS,VATRATE,ADDLVATRATE
VAT 4%,VAT,Sales @ 4%,Output VAT @ 4%,Output Additional Tax @ 1%,Output VAT @ 4%,Output Additional Tax @ 1%,4,1
VAT 12.5%,VAT,Sales @ 12.5%,Output VAT @ 12.5%,Output Additional Tax @ 2.5%,Output VAT @ 12.5%,Output Additional Tax @ 2.5%,12.5,2.5
VAT 5%,VAT,Sales @ 5%,Output VAT @ 5%,,Output VAT @ 5%,,5,
CST 5%,CST,Sales (5% CST),CST @ 5%,,Inter-State Sales,,5,0
VAT 15%,VAT,Sales @ 15%,Output VAT @ 15%,,Output VAT @ 15%,,15,0
CST 15%,CST,Sales (15% CST),CST @ 15%,,Inter-State Sales,,15,0
VAT 5.5%,VAT,Sales @ 5.5%,Output VAT @ 5.5%,,Output VAT @ 5.5%,,5.5,
CST 5.5%,CST,Sales (5.5% CST),CST @ 5.5%,,Inter-State Sales,,5.5,0
VAT 14.5%,VAT,Sales @ 14.5%,Output VAT @ 14.5%,,Output VAT @ 14.5%,,14.5,0
CST 14.5%,CST,Sales (14.5% CST),CST @ 14.5%,,Inter-State Sales,,14.5,0

